PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,WinPCT,TS_PCT,{col}_per_36
1631260,AJ Green,AJ,1610612749,MIL,26.0,73,29,44,0.397,28.7,3.2,7.6,0.418,2.8,6.8,0.41,0.7,0.8,0.842,0.3,2.3,2.6,2.0,0.9,0.5,0.1,0.2,2.3,1.0,9.8,-1.8,16.7,0,0,18.3,41,192,38,382,112,244,215,413,25,39,70,377,399,137,468,279,332,237,291,384,459,423,127,338,212,392,291,257,31,244,1,2025-26,0.39,0.6161971830985916,36.0
1642358,AJ Johnson,AJ,1610612742,DAL,21.0,44,8,36,0.182,8.8,1.0,3.2,0.324,0.3,1.1,0.229,0.4,0.5,0.826,0.3,0.9,1.1,0.9,0.5,0.2,0.0,0.5,0.5,0.4,2.8,-0.5,5.8,0,0,5.6,319,430,84,528,482,481,431,536,445,435,462,439,456,175,491,489,504,406,415,491,501,206,528,484,480,297,502,257,31,495,2,2025-26,0.312,0.40935672514619875,36.0
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,34,25,9,0.735,28.0,5.5,11.1,0.497,1.7,4.3,0.39,3.5,4.6,0.764,1.4,4.4,5.8,2.5,1.1,0.6,0.3,0.4,1.7,3.4,16.3,7.4,28.5,4,0,28.0,383,228,438,55,124,102,115,167,125,147,116,53,47,304,107,82,78,182,229,299,300,251,286,61,87,18,112,105,31,110,1,2025-26,0.641,0.6209996952148736,36.0
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,52,34,18,0.654,13.4,1.8,4.5,0.402,1.2,3.0,0.385,0.6,0.7,0.865,0.2,0.8,0.9,1.0,0.7,0.4,0.1,0.1,1.3,0.8,5.4,1.5,8.9,0,0,9.5,261,154,334,113,404,389,359,454,220,245,134,387,413,105,522,513,525,379,367,399,478,466,390,381,375,142,446,257,31,421,1,2025-26,0.623,0.5615640599001664,36.0
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,45,10,35,0.222,29.7,4.7,11.4,0.414,2.3,6.2,0.379,2.0,2.5,0.829,1.1,3.1,4.2,1.9,1.4,0.6,0.5,0.8,2.8,2.6,13.8,-4.5,23.5,0,0,24.4,314,407,91,508,94,136,104,426,57,59,152,128,142,165,168,188,181,240,170,322,144,51,43,114,116,514,169,257,31,148,1,2025-26,0.234,0.552,36.0
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,60,47,13,0.783,22.2,3.7,8.5,0.434,1.5,4.3,0.357,0.9,1.2,0.743,0.7,2.5,3.2,1.7,1.3,0.9,0.4,0.5,1.3,1.0,9.7,3.4,18.8,0,0,18.8,192,34,397,33,233,202,184,364,146,148,222,314,313,345,317,246,275,271,196,143,177,197,391,341,215,75,248,257,31,237,1,2025-26,0.792,0.5372175454142667,36.0
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,69,18,51,0.261,27.5,5.4,12.1,0.444,1.9,5.4,0.348,1.0,1.2,0.767,1.4,2.7,4.1,1.8,1.4,0.8,0.7,0.4,2.7,1.2,13.6,-6.0,24.3,0,0,24.4,81,314,12,474,134,107,90,329,95,84,247,296,296,297,110,232,185,255,167,197,109,258,49,284,121,541,157,257,31,147,1,2025-26,0.269,0.5384859043395629,36.0
1641737,Adem Bona,Adem,1610612755,PHI,23.0,68,39,29,0.574,17.4,1.9,3.1,0.601,0.0,0.1,0.333,1.1,1.6,0.706,1.8,2.5,4.4,0.5,0.8,0.4,1.2,0.4,2.2,1.4,4.9,0.1,15.0,1,0,13.0,92,94,167,209,327,379,438,48,492,519,286,253,239,395,76,248,170,514,344,405,29,251,152,240,391,242,324,187,31,354,1,2025-26,0.551,0.6440588853838065,36.0
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,54,47,7,0.87,26.1,5.1,10.5,0.489,1.1,3.1,0.351,2.6,2.9,0.873,0.7,2.7,3.4,3.6,1.5,1.3,0.3,0.4,2.1,2.7,13.9,8.6,26.7,1,0,25.2,245,34,465,10,164,119,129,182,235,235,239,92,110,90,303,230,248,103,157,56,239,211,160,93,115,9,133,187,31,134,1,2025-26,0.792,0.5901834239130435,36.0
201143,Al Horford,Al,1610612744,GSW,39.0,43,22,21,0.512,21.7,3.1,7.2,0.424,1.7,4.6,0.36,0.5,0.6,0.846,1.0,4.0,5.0,2.6,1.0,0.7,1.2,0.1,1.2,0.5,8.3,-0.2,22.8,0,0,21.3,326,262,291,288,243,255,230,385,130,131,209,413,437,130,179,114,134,167,277,255,31,460,420,462,255,272,178,257,31,194,1,2025-26,0.468,0.5560021436227224,36.0
