PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,WinPCT,TS_PCT,PTS_per36,AST_per36,REB_per36,STL_per36,BLK_per36,TOV_per36
1631260,AJ Green,AJ,1610612749,MIL,26.0,73,29,44,0.397,28.7,3.2,7.6,0.418,2.8,6.8,0.41,0.7,0.8,0.842,0.3,2.3,2.6,2.0,0.9,0.5,0.1,0.2,2.3,1.0,9.8,-1.8,16.7,0,0,18.3,41,192,38,382,112,244,215,413,25,39,70,377,399,137,468,279,332,237,291,384,459,423,127,338,212,392,291,257,31,244,1,2025-26,0.39,0.6161971830985916,12.292682926829269,2.508710801393728,3.261324041811847,0.627177700348432,0.12543554006968644,1.1289198606271778
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,60,47,13,0.783,22.2,3.7,8.5,0.434,1.5,4.3,0.357,0.9,1.2,0.743,0.7,2.5,3.2,1.7,1.3,0.9,0.4,0.5,1.3,1.0,9.7,3.4,18.8,0,0,18.8,192,34,397,33,233,202,184,364,146,148,222,314,313,345,317,246,275,271,196,143,177,197,391,341,215,75,248,257,31,237,1,2025-26,0.792,0.5372175454142667,15.72972972972973,2.7567567567567566,5.1891891891891895,1.4594594594594597,0.6486486486486487,2.1081081081081083
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,69,18,51,0.261,27.5,5.4,12.1,0.444,1.9,5.4,0.348,1.0,1.2,0.767,1.4,2.7,4.1,1.8,1.4,0.8,0.7,0.4,2.7,1.2,13.6,-6.0,24.3,0,0,24.4,81,314,12,474,134,107,90,329,95,84,247,296,296,297,110,232,185,255,167,197,109,258,49,284,121,541,157,257,31,147,1,2025-26,0.269,0.5384859043395629,17.80363636363636,2.3563636363636364,5.367272727272727,1.0472727272727274,0.9163636363636363,1.8327272727272725
1641737,Adem Bona,Adem,1610612755,PHI,23.0,68,39,29,0.574,17.4,1.9,3.1,0.601,0.0,0.1,0.333,1.1,1.6,0.706,1.8,2.5,4.4,0.5,0.8,0.4,1.2,0.4,2.2,1.4,4.9,0.1,15.0,1,0,13.0,92,94,167,209,327,379,438,48,492,519,286,253,239,395,76,248,170,514,344,405,29,251,152,240,391,242,324,187,31,354,1,2025-26,0.551,0.6440588853838065,10.13793103448276,1.0344827586206897,9.10344827586207,0.8275862068965518,2.4827586206896552,1.6551724137931036
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,68,43,25,0.632,33.4,8.1,15.6,0.522,0.6,1.8,0.315,3.7,5.4,0.686,2.9,5.9,8.9,6.2,3.1,1.2,1.1,0.9,3.3,5.1,20.6,2.8,44.3,33,4,40.8,92,53,232,141,28,23,40,112,361,357,365,48,37,420,23,27,21,25,17,60,39,42,17,18,39,91,11,8,6,21,1,2025-26,0.623,0.5729862038273253,22.203592814371262,6.682634730538923,9.592814371257486,1.2934131736526946,1.18562874251497,3.3413173652694614
1641708,Amen Thompson,Amen,1610612745,HOU,23.0,75,46,29,0.613,37.3,6.9,13.1,0.525,0.3,1.5,0.223,3.8,4.9,0.78,3.0,4.8,7.8,5.3,2.4,1.5,0.6,0.8,2.2,3.7,17.9,4.7,39.1,19,0,35.5,26,37,167,162,2,54,75,107,419,400,464,44,43,270,21,64,35,45,55,29,116,46,156,50,65,45,35,24,31,42,1,2025-26,0.623,0.5866544310435238,17.276139410187668,5.115281501340483,7.528150134048257,1.4477211796246652,0.579088471849866,2.316353887399464
203952,Andrew Wiggins,Andrew,1610612748,MIA,31.0,64,33,31,0.516,30.6,5.9,12.3,0.478,2.0,4.9,0.417,1.8,2.3,0.787,1.7,3.3,5.0,2.7,1.5,1.2,1.1,0.6,2.3,1.8,15.6,0.2,30.8,2,0,29.8,147,161,139,283,76,83,86,214,74,109,62,145,154,254,81,169,136,159,154,74,41,118,131,184,90,225,91,150,31,93,1,2025-26,0.526,0.5859374999999999,18.352941176470587,3.1764705882352944,5.882352941176471,1.4117647058823528,1.2941176470588236,1.7647058823529411
1641710,Anthony Black,Anthony,1610612753,ORL,22.0,60,33,27,0.55,30.7,5.5,12.3,0.451,1.6,4.7,0.339,2.6,3.6,0.73,0.7,3.1,3.9,3.8,2.1,1.4,0.7,0.9,2.7,2.9,15.3,0.1,29.9,2,0,28.8,192,161,201,240,75,101,87,306,135,119,272,88,77,362,289,182,210,85,70,32,97,43,56,79,96,237,101,150,31,103,1,2025-26,0.532,0.5509939498703543,17.9413680781759,4.456026058631922,4.5732899022801305,1.6416938110749186,0.8208469055374593,2.462540716612378
1630162,Anthony Edwards,Anthony,1610612750,MIN,24.0,60,36,24,0.6,35.2,9.9,20.3,0.489,3.4,8.5,0.398,5.7,7.2,0.796,0.6,4.4,5.0,3.7,2.8,1.4,0.8,0.5,1.9,4.5,28.9,2.8,44.3,2,0,45.4,192,127,243,176,8,7,4,183,7,11,90,16,14,238,336,81,134,93,28,39,71,197,232,30,3,92,12,150,31,10,1,2025-26,0.597,0.6157320606783705,29.55681818181818,3.7840909090909087,5.113636363636363,1.4318181818181817,0.8181818181818182,2.8636363636363633
1641709,Ausar Thompson,Ausar,1610612765,DET,23.0,69,50,19,0.725,26.0,4.2,8.0,0.518,0.1,0.3,0.261,1.5,2.7,0.565,2.1,3.7,5.8,3.0,1.5,2.0,0.9,0.6,2.7,2.1,9.9,5.5,28.7,3,0,24.7,81,17,317,60,165,174,196,119,482,498,436,190,129,499,52,135,79,135,148,4,57,123,45,146,210,36,111,122,31,142,1,2025-26,0.731,0.5387461906835002,13.707692307692309,4.153846153846154,8.03076923076923,2.769230769230769,1.2461538461538462,2.076923076923077
1630245,Ayo Dosunmu,Ayo,1610612750,MIN,26.0,66,34,32,0.515,27.1,5.5,10.8,0.515,1.8,4.1,0.446,1.8,2.1,0.868,0.7,2.8,3.5,3.7,1.3,0.8,0.3,0.8,1.9,1.5,14.7,-1.0,26.3,2,1,25.9,123,154,128,284,144,100,122,122,105,163,33,152,183,100,306,222,244,94,183,183,296,47,240,236,102,327,137,150,21,125,2,2025-26,0.597,0.626919140225179,19.527675276752767,4.915129151291513,4.649446494464945,1.062730627306273,0.3985239852398524,1.7269372693726939
